,Date,PortfolioValue,CashAlloc,BTCAlloc,BTCPrice,BTCSignal,SPYAlloc,SPYPrice,SPYSignal,TLTAlloc,TLTPrice,TLTSignal,merge_date,Returns,CumMax,Drawdown,InDrawdown,DrawdownStart,BTCEntry,BTCSold,BTCRealizedPnl,SPYEntry,SPYSold,SPYRealizedPnl,TLTEntry,TLTSold,TLTRealizedPnl,BTCProfitPerTrade,SPYProfitPerTrade,TLTProfitPerTrade,BTCTraded,SPYTraded,TLTTraded
592,2025-03-13 07:30:00,1064979.5067619584,399555.30938643817,0.5087310644567542,83664.41,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,9.922147579732865e-05,1073074.1169386138,-0.007543384048576882,True,False,83560.565,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
593,2025-03-13 08:00:00,1065006.27619057,399555.30938643817,0.5087310644567542,83717.03,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,2.513609740062428e-05,1073074.1169386138,-0.007518437562412344,True,False,83690.72,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0
594,2025-03-13 08:30:00,1064863.3685472535,399555.30938643817,0.5087310644567542,83436.12,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,-0.00013418478980964377,1073074.1169386138,-0.007651613492257945,True,False,83576.575,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
595,2025-03-13 09:00:00,1064864.2404894875,205101.97153595535,2.8327601379003116,83628.95,0.5,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,8.188301521272479e-07,1073074.1169386138,-0.007650800927477722,True,False,83599.59226561782,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1,0,0
596,2025-03-13 09:30:00,1065652.7077779544,107875.30697042511,3.9906831416643813,83924.45,0.5,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,0.0007404392583456598,1073074.1169386138,-0.006916026622496537,True,False,83801.77284325474,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1,0,0
597,2025-03-13 10:00:00,1065735.1139501892,59265.917024102324,4.569413297262528,83951.19,0.5,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,7.732929465054106e-05,1073074.1169386138,-0.006839232139306602,True,False,83938.72391764107,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1,0,0
598,2025-03-13 10:30:00,1064950.8198518471,59265.917024102324,4.569413297262528,83779.55,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,-0.0007359184173214572,1073074.1169386138,-0.007570117439736354,True,False,83865.37,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
599,2025-03-13 11:00:00,1065386.7424175704,34957.7126113104,4.859074034026315,83877.61,0.5,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,0.00040933586565428115,1073074.1169386138,-0.007163880294657361,True,False,83830.08629315443,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,1,0,0
600,2025-03-13 11:30:00,1063821.3410080143,22805.790017743053,5.004434569234988,83556.7,0.5,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,-0.001469326909403823,1073074.1169386138,-0.008622681121968442,True,False,83714.79034198479,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,1,0,0
601,2025-03-13 12:00:00,1063307.835976865,22805.790017743053,5.004434569234988,83454.09,0.0,0.0,0.0,,6931.4657580578005,0.0,,2025-03-13,-0.00048269856164273595,1073074.1169386138,-0.009101217527836058,True,False,83505.39499999999,0.0,-0.0,,0.0,,0.0,0.0,0.0,-0.0,,0.0,0,0,0
